List Of All Solo,,,,,,,,,
,,,,,,,,,
Nr,Map,Time,Players,Hero,Area,New Better time or its duplicit,Accepted,Comments,Dates
251,MM480,74.06,Smiley,Rameses,360,FALSE,TRUE,,17.aug.20
252,MM480,81.44,⚝Simba⚝,Rameses,335,FALSE,TRUE,,08.apr.20
253,MM480,83.14,GuilleVgx,Rameses,335,FALSE,TRUE,,20.okt.20
254,MM480,999.00,Карась,Rameses,334,FALSE,TRUE,added time cause empty,11 Jan 19
255,MM480,79.46,Crank,Rameses,332,FALSE,TRUE,Jojanah,4.aug.20
256,MM480,64.17,Oxymoronic,Chrono,304,FALSE,FALSE,C,25 May 19
257,PPP,2.29,Jackal,Chrono,31,FALSE,FALSE,C,29.okt.20
258,CC,5.39,Maikri,Reaper,41,FALSE,FALSE,,29.okt.20
259,HaHa,3.20,Maikri,Rime,16,FALSE,FALSE,,01.nov.20
260,CC,5.51,Maikri,Rameses,41,FALSE,FALSE,off,02.nov.20
261,CC,5.15,Maikri,Magmax,41,FALSE,FALSE,off,22.aug.20
262,HaHa,2.39,Maikri,Shade,16,TRUE,FALSE,,02.nov.20
263,DD,10.51,Maikri,Rameses,81,FALSE,FALSE,,07.mai.20
264,WW,12.07,Maikri,Rameses,81,FALSE,FALSE,,23.jūl.20
265,PPI,2.35,Maikri,Reaper,29,FALSE,FALSE,,09.jūl.20
266,FF,7.27,Maikri,Rameses,41,FALSE,FALSE,,22.jūn.20
267,PPP,2.48,Maikri,Necro,31,FALSE,FALSE,,10.jūn.20
268,FF,14.55,Maikri,Magmax,41,FALSE,FALSE,off,10.jūn.20
269,VV,5.40,Maikri,Necro,41,FALSE,FALSE,,09.jūn.20
270,HaHa,3.52,Maikri,Reaper,16,FALSE,FALSE,,06.jūn.20
271,MM,14.41,Maikri,Chrono,121,FALSE,FALSE,,09.jūn.20
272,MM,15.23,Maikri,Rameses,121,FALSE,FALSE,,26.mai.20
273,HaHa,2.40,Maikri,Ghoul,16,FALSE,FALSE,,05.okt.20
274,CC,4.49,piger,Magmax,41,FALSE,FALSE,,01.nov.20
275,HaHa,2.44,Vikenti,Ghoul,16,FALSE,FALSE,,05.okt.20
276,HaHa,2.46,TheTroll,Ghoul,16,FALSE,FALSE,,18.jūl.20
277,HaHa,2.47,☺♣○•♣♥☻♦♠◘,Ghoul,16,FALSE,FALSE,,12.sep.20
278,HaHa,2.49,fAtKiD,Ghoul,16,FALSE,FALSE,,21.aug.20
279,HaHa,2.50,asdfasdfasdf1234,Ghoul,16,FALSE,FALSE,,17.aug.20
280,HaHa,2.50,Amasterclasher,Ghoul,16,FALSE,FALSE,,17.aug.20
281,HaHa,2.51,Smiley,Ghoul,16,FALSE,FALSE,,27.mar.20
282,HaHa,2.52,Jackal,Ghoul,16,FALSE,FALSE,,26.mar.20
283,GG,5.33,yIzaac😎👌,Mirage,41,FALSE,TRUE,,13.okt.20
284,GG,5.35,Jayyyyyyyyyyyyyy,Magmax,41,FALSE,FALSE,,13.okt.20
285,GG,5.40,Harmony556,Mirage,41,FALSE,TRUE,,9 May 20
286,CC,6.06,Jayyyyyyyyyyyyyy,Necro,41,FALSE,TRUE,,02.nov.20
287,PPP,2.25,Smiley,Nexus,31,FALSE,TRUE,,02.nov.20
288,CC,6.21,PotatoNuke,Jötunn,41,FALSE,TRUE,,02.nov.20
289,CC,5.22,CrEoP,Mirage,41,FALSE,TRUE,,15.jūn.20
290,CCH,11.12,Damasus,Rameses,41,FALSE,TRUE,,14.jūl.20
291,EE_old,26.42,yo,Rameses,81,FALSE,TRUE,,28.mar.20
292,EE_old,32.39,AWEN,Magmax,81,FALSE,FALSE,,05.apr.20
293,GG,5.50,Jackal,Candy,41,FALSE,TRUE,,15.aug.20
294,GG,5.58,Gazebr,Cent,41,FALSE,TRUE,,23 Feb 20
295,GG,5.59,Crank,Chrono,41,FALSE,FALSE,Jojanah,09.aug.20
296,DD,10.51,Jayyyyyyyyyyyyyy,Chrono,81,FALSE,FALSE,C,13.aug.20
297,DD,10.56,Oxymoronic,Necro,81,FALSE,TRUE,,Before 28 Nov 19
